Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20071,Standard,Hawaii Right to Life Political Action Committee ,"Borja, Deacon Joaquin ""Kin"" M. ",Retired,Hawaii Right to Life,"Borja, Deacon Joaquin ""Kin"" M. ",president,Hawaii Right to Life,Education,,,,Y,06/23/2008
NC20266,Standard,Hawaii Solar Energy Association Political Action Committee,"Chong, Gabriel J. ",Solar Energy,Sunetric,"Reed, Richard R. ",Solar Energy,Inter-Island Solar Supply,Non-Profit,,,,N,04/12/2010
NC20307,Independent Expenditure,Hawaii Solutions,"Perez, Jose ",self,self,"Kealoha, Earle K. ",Retired,Retired,Independent Expenditure,,,,N,11/21/2011
NC20072,Standard,Hawaii Speech-Language Hearing Association Political Action Committee,"Ward, Barbara J. ",Speech-Language Pathologist,Dept of Education/Windward District,"Weirather, Randy R. ",Speech-Language Pathologist,University of Hawaii,Healthcare / Medical,,,,Y,09/08/2008
NC20073,Standard,Hawaii State Democratic Women's Caucus,"Ohta, Jeanne Y. ",consultant,Self-employed,"Fitzpatrick, Stephanie L. ",Property Manager,Self-Employed,Political Party,Democrat,,,N,09/09/2008
NC20300,Standard,Hawaii State Federation of College Republicans ,"Roehr, Nash ",Student,Classroom (HPU),"Bramwell, Nickolas ",Student,Classroom (BYUH),Education,,,,Y,04/04/2011
NC20074,Standard,Hawaii Teamsters Local 996 PAC ,"Costa, Michael ",Bus Operator,Honolulu,"Ida, Glenn S. ",Bus Operator,Honolulu,Labor Union,,,,Y,09/08/2008
NC20478,Independent Expenditure,Hawaii Voter Information Project,"Walden, Andrew R. ",self-employed,home,"Walden, Andrew R. ",self employed,home,Independent Expenditure,,,,Y,09/04/2014
NC20240,Standard,"Hawaiian Airlines, Inc. Committee For a Better Hawaii","Cummisky, Margaret ",Attorney,"Honolulu, HI","Botticelli, Ann ",Attorney,"Honolulu, HI",Transportation,,,,N,10/30/2008
NC20617,Standard,"Hawaiian Memorial Life Plan Ltd. (Hawaiian Memorial Park, Borthwick)","Majzoub, Elizabeth ",Government Affairs Specialist,"Houston, TX","Majzoub, Elizabeth ",Government Affairs Specialist,"Houston, TX",Other,,,,N,06/28/2016
NC20075,Standard,Hawaiian Telcom Good Government Club,"Tanabe, Winslow I. ",Sr. Mgr - Engineering,"1177 Bishop Street, Honolulu  96813","Yosemori, JoAnn C. ",Sr. Mgr - Government & Community Affairs,"1177 Bishop Street, Honolulu  96813",Communications / Electronics,,,,N,06/30/2008
NC20076,Standard,Hawaiian Tug & Barge / Young Brothers PAC ,"Hong, Glenn K. ",President and Chief Executive Officer,"Honolulu, HI","Catalani, R. Roy ","Vice President, Strategic Planning & Govt Affairs",Honolulu,Transportation,,,,Y,07/23/2008
NC20262,Ballot Issue,Hawaii's Children First ,"Baldemor, Randolf L. ",President of a software company,"Honolulu, Hawaii","Yang, Debbie ",Accounting Manager,"Honolulu, Hawaii",Ballot Issue,,Support for an appointed Board of Education,,Y,02/01/2010
NC20297,Ballot Issue,Hawaii's Children First PAC,"Tokioka, Tyler M. ",Executive,"1022 Bethel Street, Honolulu, HI 96813","Shimamura, George-Jan T. ",Exec. Assistant,"1132 Bishop Street, Suite 2450, Honolulu, HI 96813",Ballot Issue,,Education,,Y,01/26/2011
NC20416,Independent Expenditure,Hawaii's Future,"Iwase, Randy ",Retired,n/a,"Boersema, James ",Chairman,Unity House and Olelo Community Media,Independent Expenditure,,,,Y,02/12/2014
NC20077,Standard,Hawktree International PAC ,"Takaki, Donald M. ",Executive,"Pier 42  Honolulu, HI  96817","Matsumoto, Brian A. ",Accountant,"Pier 42  Honolulu, HI  96817",Transportation,,,,Y,06/23/2008
NC20500,Standard,"Hawktree International, Inc.","Takaki, Donn M. ","President, Hawktree International, Inc.",3179 Koapaka Street,"Takaki, Ryan Z. ","Secretary, Hawktree International, Inc.",91-240 Kalaeloa Blvd,Transportation,,,,Y,10/01/2014
NC20603,Standard,"Hawktree International, Inc.","Takaki, Donn M. ",Corporate Officer,"3179 Koapaka Street, Honolulu, HI 96819","Takaki, Ryan Z. ",Corporate Officer,"3179 Koapaka Street, Honolulu, HI 96819",Transportation,,,,N,05/02/2016
NC20231,Standard,"HDR, Inc. Political Action Committee (HDR PAC)","Fisher, Rex T. ",PAC Chairman,"HDR, Inc., Omaha, NE","Foxx, Bryan ",PAC Treasurer,"Comerica Bank, Detroit, MI",Architect / Engineer,,,,N,10/05/2008
NC20078,Standard,Healthcare Association of Hawaii Political Action Committee,"Greene, George W. ",President and CEO,Healthcare Association of Hawaii,"Hayashi, Bess E. ","Director, Fiscal Services",Healthcare Association of Hawaii,Non-Profit,,,,N,06/26/2008
NC20634,Standard,"Heavenly Hawaiian, Ltd.","Dahlberg, James ",Real Estate Broker,"Kailua Kona, Hi 96740","Dahlberg, James ",Real Estate Broker,Kailua Kona HI 96740,Agribusiness,,,,N,08/09/2016
NC20079,Standard,HEI CEG,"Oshima, Alan M. ",President,"Honolulu, HI","Okada, Lon K. ",Manager,"Honolulu, HI",Other,,,,N,06/20/2008
NC20496,Standard,Hensel Phelps Construction Co.,"Pappas, James R. Jr.",Executive,Hensel Phelps Construction Co,"Slater, Jen ",President,Campaign Compliance Group Inc.,Construction,,,,Y,09/30/2014
NC20459,Standard,HFIA PAC,"Zirbel, Lauren S. ",Executive Director,Hawaii Food Industry Association,"Zirbel, Lauren S. ",Executive Director,Hawaii Food Industry Association,Non-Profit,,,,N,06/22/2015
NC20234,Ballot Issue,HGEA Ballot Committee ,"Nomura, Nora A. ",Deputy Executive Director,"Honolulu, Hawaii","Mizuno, Derek M. ",Deputy Executive Director,"Honolulu, Hawaii",Ballot Issue,,Constitutional Convention issue,,Y,10/23/2008
NC20363,Standard,"HHB & Associates, LLC ","Racine, Bethany ",Secretary,"HHB & Associates, LLC","Flores, Miliaka ",Office Manager,"HHB & Associates, LLC",Construction,,,,Y,09/06/2012
NC20080,Standard,HIIA - PAC,"Leong, Sonia M. ",Executive Director,HIIA,"Leong, Sonia M. ",Executive Director,HIIA,Insurance,,,,N,09/10/2008
NC20568,Standard,Hilton Worldwide (Corporate Account),"Lucas, Steven S. ",Partner,Nielsen Merksamer et. al.,"Lucas, Steven S. ",Partner,Nielsen Merksamer et. al.,Tourism,,,,N,03/27/2015
NC20392,Independent Expenditure,HIRA Action,"Ryan, Eric ",Republican Activist,Hawaii,"Ryan, Eric ",Republican Activist,Hawaii,Independent Expenditure,,,,N,09/25/2013
NC20188,Standard,"HMA, Inc. dba Health Management Associates, Inc. ","Dyer, James D. ","Chairman of the Board, I/MX","Tempe, Arizona","Carter, Paul C. ",Treasurer and Chief Financial Officer,"Tempe, Az",Healthcare / Medical,,,,Y,10/06/2008
NC20261,Standard,HNTB Holdings Ltd. PAC,"Mann, Douglas ",Chairman,HNTB Holdings Ltd.,"Mann, Douglas ",Chairman,HNTB Holdings Ltd.,Architect / Engineer,,,,N,01/26/2010
NC20452,Independent Expenditure,Homeowners Super PAC,"Waihee, John D. III",Attorney,"Dubin Law Offices, Honolulu, Hawaii","Dubin, Gary V. ",Attorney,"Dubin Law Offices, Honolulu, Hawaii",Independent Expenditure,,,,Y,10/21/2014
NC20081,Standard,Honolulu Marine LLC ,"Pires, Charles B. ",Self Employed,Kewalo Shipyard,"Pires, Charles B. ",Self Employed,Kewalo Shipyard,Other,,,,Y,08/29/2008
NC20505,Standard,"Honua Group, LLC","Kuna, Nainoa L. ",Manager - Honua Group,Honolulu,"Kuna, Nainoa L. ",Manager - Honua Group,Honolulu,Business / General Commerce,,,,Y,10/02/2014
NC20185,Ballot Issue,Hope for Hawaii ,"Ryan, Eric S. ",Advertising & Graphic Design,Studio Ryan,"Brackins, Daniel A. ",Economics Tutor,Hawaii Pacific University,Ballot Issue,,Rail Transit,,Y,07/23/2008
NC20579,Standard,"Horizon Lines, LLC","Endsley, Meredith N. ",Attorney,Oakland,"Endsley, Meredith N. ",Attorney,Oakland,Transportation,,,,Y,
NC20082,Standard,HOTELPAC,"Hannemann, Muliufi F. ",President,same as above,"Kaaa, Stephen ",Banker,same as above,Tourism,,,,N,06/18/2008
NC20485,Standard,"HSC, Inc.","Henderson, Richard ",President,"1177 Kilauea Ave, Hilo, HI 96720","Moffatt, Sylvia R. ",Treasurer,"1177 Kilauea Ave, Hilo, HI",Real Estate,,,,Y,09/29/2014
NC20228,Ballot Issue,HSTA Educational Alliance ,"Takabayashi, Roger K. ",President,"HSTA - 1200 Ala Kapuna St., Honolulu, HI 96819","Wong, Justin ",President,"HSTA - 1200 Ala Kapuna St., Honolulu, HI 96819",Ballot Issue,,Constitutional Convention,,Y,09/23/2008
NC20192,Standard,HSTA Government Relations Committee (Formerly HSTA PAC),"Taketa, Natasha ",Teacher,Mililani High School,"Ito-Mizota, Kendra ",Government Relations Specialist,HSTA,Education,,,,N,08/22/2008
NC20328,Standard,Hualalai Investors LLC ,"Fitzgerald, Patrick K. ",Management,Hualalai Investors,"Hill, Denise L. ",Management,Hualalai Investors,Tourism,,,,N,04/30/2012
NC20329,Standard,"Hualalai-PIA Kona, LLC ","Fitzgerald, Patrick K. ",Management,Hualalai Investors,"Hill, Denise ",Management,Hualalai Investors,Real Estate,,,,Y,04/30/2012
NC20199,Standard,Hui O'Kupa ,"Ito, Gordon H. ",health care administrator,"Honolulu, HI","Ito, Gordon H. ",health care administrator,"Honolulu, HI",Healthcare / Medical,,,,Y,09/09/2008
NC20277,Standard,Hui Ulakea,"Tokusato, Joli A. ",Clerk ,Ilikai,"Luka, Morrison K. ",Organizer,Local 5,Other,,,,N,09/03/2010
NC20187,Standard,"I/MX Information Management Solutions, Inc. ","Dyer, James D. ",Chairman of the Board,"Tempe, AZ 85282","Carter, Paul C. ",CFO/Treasurer,"Tempe, AZ 85282",Healthcare / Medical,,,,Y,07/29/2008
NC20083,Standard,IBEW Local 1260 Voluntary Political Fund,"Ahakuelo, Brian F. ",Business Manager-Financial Secretary,"IBEW, Local Union 1260","Hoke, Kris ",Power Plant Operator,Hawaiian Electric Company,Labor Union,,,,N,06/18/2008
NC20087,Standard,IBEW Local Union 1357 Political Action Committee,"Benevides, Troy ",Business Manager/Financial Secretary,IBEW LOCAL UNION 1357,"Kahakui, Andie P. ",Assistant Business Mgr,IBEW Local Union 1357,Labor Union,,,,N,06/25/2008
NC20174,Standard,ILWU Hawaii Political Action Committee,"Galdones, Fred ",Union Officer,ILWU Local 142,"Fujimura, Guy K. ",Union Officer,ILWU Local 142,Labor Union,,,,N,07/03/2008
NC20450,Independent Expenditure,IMUA Kauai,"Brower, Robert H. ",Contractor,Brower Construction,"Petterson, Robyn G. ",Office Manager,PacBuild,Independent Expenditure,,,,Y,06/10/2014
NC20085,Standard,"Innovative Technical Solutions, Inc. (dba NovaSol) ","Holasek, Rick E. ",President and CEO,"Honolulu, HI ","Baldauf, William P. ",Vice President and CFO,"Honolulu, HI",Research / Science,,,,Y,07/16/2008
NC20086,Standard,Insurance & Financial Advisors PAC Hawaii,"Chung, Adelia C. ",Insurance Agent,3468 Waialae Avenue Suite 234,"Wilton, Jennifer L. ",Financial Representative,1440 Kapiolani Blvd Ste 1700,Insurance,,,,N,06/20/2008
NC20460,Standard,International Association of Heat & Frost Insulators & Allied Workers Local 132,"Fulp, Douglas ",Business Manager/ Financial Secretary ,Int Assoc of Heat & Frost Insulators Local 132,"Fulp, Douglas ",Business Manager/ Financial Secretary,Int Assoc of Heat & Frost Insulators Local 132,Non-Profit,,,,N,07/11/2014
NC20250,Standard,International Brotherhood of Boilermakers - LEAP,"Jones, Newton B. ",International Secretary-Treasurer,International Brotherhood of Boilermakers,"Creeden, William T. ",International Secretary-Treasurer,International Brotherhood of Boilermakers,Labor Union,,,,N,06/26/2009
NC20469,Standard,International Longshore and Warehouse Union Political Action Fund,"McEllrath, Robert M. ",Labor Union Officer,"San Francisco, CA","Adams, William E. ",Labor Union Officer,"San Francisco, CA",Labor Union,,,,N,08/22/2014
NC20255,Standard,International Union of Painters and Allied Trades Political Action Together Political Committee,"Harris, Charles D. ",Exec asst. to General Secretary-Treasury,IUPAT,"Galis, George ",General Secretary-Treasury,IUPAT,Labor Union,,,,N,08/07/2009
NC20623,Standard,"Interval International, Inc.","Nash, Craig M. ","Charirman, CEO","South Miami, FL","Fernandez, Eduardo M. ",Treasurer,"South Miami, FL",Other,,,,N,08/01/2016
NC20525,Standard,"Iolani Islander, LLC","Anderson, Brian A. ",cowboy,Kamuela,"Anderson, Brian A. ",cowboy,Kamuela,Agribusiness,,,,Y,10/08/2014
NC20361,Standard,"Irongate Ala Wai, LLC ","Sakamaki, Brian L. ",Real Estate,"Honolulu, Hawaii","Sakamaki, Brian L. ",Real Estate,"Honolulu, Hawaii",Real Estate,,,,Y,08/23/2012
NC20326,Standard,Irongate AZREP BW LLC ,"Grosfeld, Jason ",Developer and Investor,CA and HI,"Won, Thomas ",Controller,CA and HI,Real Estate,,,,Y,04/27/2012
NC20088,Standard,Island Insurance Employees PAC ,"Matsumoto, Colbert M. ",Executive,"Honolulu, HI","Kawano, Nolan N. ",Executive,"Honolulu, HI",Insurance,,,,Y,07/28/2008
NC20310,Standard,Island Insurance PAC ,"Matsumoto, Colbert M. ",Chairman & CEO,"Island Insurance Company, Ltd.","Kawano, Nolan N. ",Treasurer,"Island Insurance Company, Ltd.",Insurance,,,,Y,12/20/2011
NC20577,Standard,Island Insurance PAC,"Onofrietti, Michael A. ",Senior Vice President,"Island Insurance Company, Ltd.","Shimamura, George-Jan T. ",Assistant Secretary,"Island Insurance Company, Ltd.",Insurance,,,,N,04/16/2015
NC20276,Standard,Island Values ,"Criz, A. Joel ",Real Estate Broker,"Honolulu, Hawaii","Moala, Lisa M. ",Operations Director for feeding the homeless,"Honolulu, Hawaii",Other,,,,Y,08/23/2010
NC20089,Ballot Issue,It's Time Hawaii ,"Spengler, Mark R. ",self employed,same,"Russell, Susan J. ",self employed,same,Ballot Issue,,Constitutional Convention,,Y,09/03/2008
NC20090,Standard,Janell Israel & Associates PAC ,"Israel, Janell A. ",Tax Professional/Financial Planner,Janell Israel & Associates Ltd.,"Israel, Janell A. ",Tax Professional/Financial Planner,Janell Israel & Associates Ltd.,Finance,,,,Y,06/18/2008
NC20484,Standard,"JD Pacific, LLC","Downs, Gregory S. ",Engineer,Kula,"Down, Gregory S. ",engineer,Kula,Construction,,,,Y,10/02/2014
NC20448,Independent Expenditure,Jobs and Opportunity for Hawaii,"Metcalf, Benjamin C. ",Member,Jobs & Opportunity,"Fuhrman, Jessica B. ",Member,Jobs & Opportunity,Independent Expenditure,,,,Y,05/29/2014
NC20194,Standard,Johnson & Johnson ,"McCoy, Sherilyn S. ",Worldwide Chair Surgical Care,New Jersey,"Bohn, Donald W. ","Vice President, U.S. Government Affairs",New Jersey,Healthcare / Medical,,,,Y,08/29/2008
NC20355,Standard,Justice ,"Kagami, Michael S. ",attorney,Hilo,"Nagata, Darien ",attorney,Hilo,Judicial / Legal,,,,Y,08/09/2012
NC20223,Standard,Justice for All Alliance ,"Hamai, Albert ",retired,home,"Geller, Larry ","President, Kokua Council",1515 Nuuanu Ave.,Judicial / Legal,,,,Y,09/10/2008
NC20507,Standard,"K.N. Lawn Service, Inc.","Naum, Kosta II",President,Hawaii,"Naum, Kosta II",President,Hawaii,Business / General Commerce,,,,Y,10/17/2014
NC20091,Standard,Kaanapali Land Management Corp. ,"Hull, Gailen J. ",Chief Fiancial Officer,"Chiago, IL","Hull, Gailen J. ",Chief Financial Officer,"Chicago, IL",Real Estate,,,,Y,08/21/2008
NC20208,Standard,"Kaku Associates, Inc. ","Kaku, Dick S. ",Engineer,19961 Pine Valley Way,"Kaku, Dick S. ",Engineer,19661 Pine Valley Way,Architect / Engineer,,,,Y,09/04/2008
NC20488,Ballot Issue,Kamehameha Schools Early Education Support,"Pating, Christopher J. ",Administration,Kamehameha Schools,"Erskine, Deborah L. ",Controller,Kamehameha Schools,Ballot Issue,,Early Education,,Y,09/29/2014
NC20092,Standard,Kaneohe Ranch PAC ,"D'Olier, H. Mitchell ",Management (President and CEO),"1199 Auloa Road - Kailua, HI 96734","Au, Carlton K. ",Management (Chief Financial Officer),"1199 Auloa Road - Kailua, HI  96734",Real Estate,,,,Y,06/25/2008
NC20093,Standard,Kanoelehua Industrial Area Association GAC Committee ,"Tamimi, Nimr Y. ",KIAA President 08-09,KIAA,"Lovell, David ",KIAA Treasurer 08-09,KIAA,Non-Profit,,,,Y,06/30/2008
NC20610,Standard,"Kapaa III, LLC","Yamada, Suzette ",bookkeeper,"905 Kalanianaole Hwy., Kailua","Yamada, Suzette ",bookkeeper,"905 Kalanianaole Hwy., Kailua",Other,,,,N,06/08/2016
NC20236,Ballot Issue,Kapolei Property Development Transportation Committee ,"Rae, David W. ","Senior Vice President, Development",Kapolei Property Development LLC,"Nekota, Cameron W. ",Development Project Manager,Kapolei Property Development LLC,Ballot Issue,,Rail Transit,,Y,10/20/2008
NC20095,Standard,Kauai Island Utility Cooperative PAC,"Tacbian, Teofilo ",Insurance,"Lihue, Hawaii","Murashige, Calvin ",retired,retired,Energy / Utility,,,,N,06/10/2008
NC20303,Independent Expenditure,Kauai Women's Caucus,"Peacock-Williams, Carol A. ",Designer/Writer,Work from Home,"Bond, Janice S. ",Retired teacher/consultant,Home,Non-Profit,,,,N,07/15/2011
NC20622,Standard,Kauai Young Democrats,"Castillo, Aria Juliet ",Manager,Grand Hyatt Kauai,"Wistinghausen, Justin ",NA,NA,Political Party,Democrat,,,N,07/06/2016
NC20486,Standard,"Kazu Yato, AIA & Associates, Inc.","Yato, Kazutoshi ",architect,Same as above,"Yato, Chisato ",unemployed,same as above,Architect / Engineer,,,,Y,10/02/2014
NC20555,Standard,KCOM Corporation,"Peroff, Valentine Jr.",Owner/President,99-1324 Koaha Place,"Kwan, Dennis ",Controller,99-1324 Koaha Place,Construction,,,,Y,11/21/2014
NC20096,Standard,Kilohana Corporation Political Action Committee,"Tsutsui, Roy T. ",Vice President,R. M. Towill Corporation,"Spencer, Robert E. ",Treasurer,R. M. Towill Corporation,Architect / Engineer,,,,N,07/25/2008
NC20097,Standard,"King & Neel, Inc. ","King, Harvey C. ",President,Hawaii,"Ko, Grace L. ",Treasurer,Hawaii,Insurance,,,,Y,08/27/2008
NC20272,Standard,Kobayashi Travel Service Ltd. PAC ,"Kobayashi, Michael K. ",Company president,"Kobayashi Travel Service, Ltd.","Teshima, Lawson S. ",Accountant,"Kobayashi Travel Service, Ltd.",Tourism,,,,Y,06/23/2010
NC20539,Standard,"Kodani & Associates Engineers, LLC","Kodani, Clyde T. ",Engineer,"3126 Akahi Street, Lihue, Hawaii  96766","Shimabukuro, Shawn L. ",Project Manager,"3-1850 Kaumualii Highway, Lihue, Hawaii  96766",Architect / Engineer,,,,Y,10/16/2014
NC20442,Standard,"Kona Brewing Company, LLC","Davis, Mattson C. ",Managing Director,Kona Brewing Company,"Busch, Jennifer P. ",Controller,Kona Brewing Company,Alcohol / Tobacco,,,,Y,04/29/2014
NC20621,Independent Expenditure,Kuleana Coalition for Change,"Bartlett, Edmond ",Real Estate Broker,3185 Hoomua Drive,"Bartlett, Edmond ",Real Estate Broker,3185 Hoomua Drive,Independent Expenditure,,,,N,06/24/2016
NC20502,Standard,"KY International, Inc.","Kwok, Henry T. ",Architect,"KY International, Inc.","Kwok, Henry T. ",Architect,"KY International, Inc.",Architect / Engineer,,,,Y,10/02/2014
NC20515,Standard,"KZ DevCo, L.P.","Cowan, Curtis P. ",Real Estate,"Irvine, CA","Cowan, Curtis P. ",Real Estate,"Irvine, CA",Real Estate,,,,Y,10/09/2014
NC20341,Standard,"Lake Erie Wholesale Medical Supply, Inc.","Holmes, Michael W. ",CEO,7560 Lewis Avenue Temperance MI 48182,"Sieren, Jeannie M. ",Treasurer,7560 Lewis Avenue Temperance MI 48182,Healthcare / Medical,,,,Y,10/23/2012
NC20593,Standard,Lanai Noncandidate Committee,"Matsumoto, Kurt ",Chief Operating Officer,"Honolulu, Hawaii","McCrory, Lynn P. ",Senior Vice President of Government Affairs,"Honolulu, HI  ",Other,,,,N,01/05/2016
NC20635,Standard,Landmark Logistics Corporation,"Correa, Corey ",LOGISTICS,HAWAII,"Aspengren, Seiji ",LOGISTICS,HAWAII,Transportation,,,,N,09/02/2016
NC20631,Standard,"Law Office Of Shelton G.W. Jim On, LLLC","Jim On, Shelton ",Attorney,Honolulu,"Jim On, Shelton ",Attorney,Honolulu,Judicial / Legal,,,,N,08/01/2016
NC20509,Standard,"LBD Coffee, LLC","Drent, Les ",Farmer,"6200 Kawaihau Road, Unit B, Kapaa, HI  96746","Drent, Les ",Farmer,"6200 Kawaihau Road, Unit B, Kapaa, HI  96746",Agribusiness,,,,Y,10/03/2014
NC20408,Standard,"LCY Hawaii, LLC","Yun, Sam S. ",Owner,"1750 Kalakaua Ave., Suite 204C","Yun, Sam S. ",Owner,"1750 Kalakaua Ave., Suite 204C",Other,,,,Y,02/06/2014
NC20591,Standard,Leaders in Education Fund,"Buman, Mike ",Executive Director,Leadership for Educational Equity,"Bahar-Engler, Beki ","Vice President, Strategy and Operations",Leadership for Educational Equity,Education,,,,N,01/30/2016
NC20470,Ballot Issue,Learning Matters,"Coffield, Kristopher S. ",Legislative Director,IMUAlliance,"Mikesell, Christopher ",Credit Specialist,Home Depot,Ballot Issue,,Constitutional Amendment Early Childhood Education,,N,09/18/2014
NC20098,Standard,Leo A. Daly Company PAC,"Brader, James B. ",Chief Financial Officer,Leo A Daly Company,"Brader, James B. ",Chief Financial Officer,Leo A Daly Company,Architect / Engineer,,,,N,08/22/2008
NC20345,Standard,Leu Okuda & Doi ,"Leu, Lester K. ",Attorney,"Leu, Okuda & Doi","Leu, Lester K. ",Attorney,"Leu, Okuda & Doi",Judicial / Legal,,,,Y,07/10/2012
NC20099,Political Party,Libertarian Party of Hawaii,"Ryan, Tracy ",Accounting,home,"Varner, Kyle ",PHYSICIAN,TRIPLER AMRY MECICAL CENTER,Political Party,Libertarian,,,N,09/13/2008
NC20516,Standard,"Lihue Pharmacy, Inc.","Glick, Kevin ",Pharmacist,Lihue Pharmacy,"Glick, Kevin ",Pharmacist,Lihue Pharmacy,Healthcare / Medical,,,,N,10/15/2014
NC20445,Standard,"Lionking II, LLC","Walden, Donna J. ",Real Estate Investor,"3939 Old Pali Road, Honolulu, HI  96817","Walden, Donna J. ",Real Estate Investor,"3939 Old Pali Road, Honolulu, Hawaii  96817",Real Estate,,,,Y,05/08/2014
NC20590,Standard,LIUNA Laborers' Political League Education Fund,"O'Sullivan, Terry ",General President,Laborers' International Union of North America,"Sabitoni, Armand ",General Secretary-Treasurer,Laborers' International Union of North America,Labor Union,,,,N,09/29/2015
NC20614,Standard,LKQ Corporation Employee Good Government Fund,"Wagman, Robert ",PAC Chairman,"LKQ Corporation, Chicago, IL","Colas, Ray ",PAC Treasurer,"LKQ Corporation, Chicago, IL",Other,,,,N,06/16/2016
NC20100,Standard,Local #1 - Political Action Committee,"Silva, Melvin Jr.",TRAINING COORDINATOR,2251 NORTH SCHOOL ST,"Saito, Anthony R. ",BUSINESS AGENT,2251 NORTH SCHOOL ST,Labor Union,,,,N,08/27/2008
NC20479,Ballot Issue,Local Food Coalition,"Lee, Brandon T. ",Investment Associate,Ulupono Initiative,"Clay, Murray R. ",Managing Partner,Ulupono Initiative,Ballot Issue,,Special Purpose Revenue Bonds for Agriculture,,Y,09/09/2014
NC20180,Standard,Local Union 1186 IBEW PAC Fund,"Hayashi, Tracy ",Business Manager/Financial Secretary,"Honolulu, HI","Kaloi, Dennis ",Organizer,"Honolulu, HI",Labor Union,,,,N,09/10/2008
NC20101,Standard,Local Union 293 State Legislature Fund,"Afuso, Michael T. ",President,"1405 N. King St., Room 401","Tolentino, Arthur B. ",Business Manager,"1405 N. King St., Room 401",Labor Union,,,,N,09/05/2008
NC20102,Standard,Longs Drug Stores California Inc. ,"McCann, Steven F. ",CHAIRPERSON,"141 N CIVIC DR., WALNUT CREEK, CA 94596","Chelemedos, Roger L. ",TREASURER,"141 N CIVIC DRIVE, WALNUT CREEK, CA 94596",Business / General Commerce,,,,Y,08/04/2008
NC20608,Standard,LWKN,"Chung, Ann ",Director,Pacific Marine,"Chung, Ann ",Director,Pacific Marine,Other,,,,N,05/25/2016
NC20352,Standard,Lynne Waters Communications ,"Waters, Lynne T. ","Assoc. Vice President, External Affairs",University of Hawaii System,"Waters, Lynne T. ","Assoc. Vice President, External Affairs",University of Hawaii System,Communications / Electronics,,,,Y,08/01/2012
NC20311,Independent Expenditure,MADPAC Hawaii,"Arakaki, Earl F. ",Retired,N/A,"Smith, Garry P. ",Retired,N/A,Other,,,,Y,01/10/2012
NC20395,Standard,Makena Beach and Golf Resort,"McCarthy, Declan ",General Manager,Makena Beach & Golf Resort,"Sim, Mare ",Controller,Makean Beach & Golf Resort,Tourism,,,,Y,10/29/2013
NC20558,Standard,Makena Real Estate Corporation,"Takase, Richard ",Retired,Makena Real Estate Corpoation,"Takase, Richard ",Retired,Makena Real Estate Corporation,Other,,,,Y,12/04/2014
NC20544,Standard,Mala Ocean Tavern/Honu,"Ellman, Mark ",Chef Owner,Mala Honu,"Ellman, Mark ",Chef Owner,Mala - Honu,Business / General Commerce,,,,Y,10/24/2014
NC20584,Standard,"Manaolana Partners, LLC","Witte, William B. ",Real Estate/Investment Banking/Wealth Management,Los Angeles CA,"Ratkovich, James ",Real Estate/Investment Banking/Wealth Management,Los Angeles CA,Real Estate,,,,N,06/23/2015
NC20613,Standard,Marine Consulting,"Chung, Ann ",Director,Pacific Marine,"Chung, Ann ",Director,Pacific Marine,Other,,,,N,06/16/2016
NC20527,Standard,Marine Patao dba Patao Gas & Go,"Patao, Marine ",Safety Check,Patao Gas & Go,"Patao, Marine ",Safety Check,Patao Gas & Go,Other,,,,Y,10/21/2014
NC20103,Standard,"Market City, Ltd. ","Fong, Marvin ",Property Management,2919 Kapiolani Blvd.,"Fong, Marvin ",same,same,Real Estate,,,,Y,09/08/2008
NC20564,Standard,"Martin Anderson, Kapoho Properties, Inc., and Norman Piianaia","Yamanaka, Vern ",Broker,Yamanaka Enterprises,"Yamanaka, Greg ",Realtor,Yamanaka Enterprises,Real Estate,,,,Y,12/22/2014
NC20528,Standard,Marty Meehan for Congress Committee,"Meehan, Martin T. ",Chancellor,UMass Lowell,"Anastopoulos, Mary ",Retired,Home,Single Candidate,,,Martin T. Meehan,Y,10/28/2014
NC20104,Standard,Masons & Plasterers Fraternal Association - PAC,"Keomaka, Edison K. ",TRAINING DIRECTOR,2251 NORTH SCHOOL ST,"Los Banos, Allan Jr.",SAFETY COORDINATOR,2251 NORTH SCHOOL ST,Non-Profit,,,,N,08/25/2008
NC20105,Standard,Masons Local 630 - PAC,"Domogsac, Rudy L. ",TRAINING COORDINATOR,2251 NORTH SCHOOL ST,"Wong, El-John K. ",TRAINING COORDINATOR,2251 NORTH SCHOOL ST,Labor Union,,,,N,08/27/2008
NC20380,Standard,"Matson Navigation Company, Inc. Hawaii Noncandidate Committee","Heilmann, Peter T. ",General Counsel,"Oakland, California","Endsley, Meredith N. ",Attorney,"Oakland, California",Transportation,,,,N,10/29/2012
NC20237,Standard,"Matsubara - Kotake, AAL, ALC ","Matsubara, Benjamin M. ",Attorney,"Matsubara - Kotake, AAL ALC","Kotake, Mervyn M. ",Attorney,"Matsubara - Kotake, AAL ALC",Judicial / Legal,,,,Y,10/30/2008
